gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,results_to,team_alive,team_id,team_name,team_rating,team_region,team_seed,team_slot
mens,2019-03-17,0,1,0.108542477,0.02218583,0.003396765,0.000497137,6.98E-05,1.02E-05,1,1,2247,Georgia State,76.3,Midwest,14,86
mens,2019-03-17,0,1,0.060029638,0.012259953,0.002306335,0.00030405,3.93E-05,6.34E-06,1,1,149,Montana,76.17,West,15,62
mens,2019-03-17,0,1,0.050269449,0.008787872,0.001255694,0.000125275,1.86E-05,2.35E-06,1,1,2142,Colgate,74.95,South,15,126
mens,2019-03-17,0,1,0.035533977,0.005590132,0.000829719,4.92E-05,5.50E-06,6.89E-07,1,1,71,Bradley,72.91,East,15,30
mens,2019-03-17,0,1,0.018566161,0.003723714,0.000540989,4.68E-05,4.27E-06,3.36E-07,1,1,2241,Gardner-Webb,71.74,South,16,98
mens,2019-03-17,0,1,0.030884585,0.003997463,0.000472897,4.20E-05,3.49E-06,3.10E-07,1,1,2000,Abilene Christian,72.33,Midwest,15,94
mens,2019-03-17,0,1,0.022087375,0.004434089,0.000386727,3.45E-05,2.59E-06,2.08E-07,1,1,314,Iona,71.88,Midwest,16,66
mens,2019-03-17,1,0.675134366,0.005864061,0.000769716,6.41E-05,4.96E-06,4.61E-07,4.87E-08,0,1,2449,North Dakota State,70.35,East,16b,3
mens,2019-03-17,1,0.452647381,0.005571499,0.000765978,9.03E-05,7.27E-06,4.46E-07,3.54E-08,0,1,2504,Prairie View,69.57,West,16b,35
mens,2019-03-17,1,0.547352619,0.006186083,0.000789663,8.44E-05,6.15E-06,4.00E-07,3.35E-08,0,1,161,Fairleigh Dickinson,70.04,West,16a,34
mens,2019-03-17,1,0.324865634,0.00193765,0.000181875,1.03E-05,5.47E-07,2.16E-08,9.89E-10,0,1,2428,North Carolina Central,65.48,East,16a,2
